"Subject" "Activity" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.."
1 "WALKING" 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842 0.277330758736842
1 "WALKING_UPSTAIRS" 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641 0.255461689622641
1 "WALKING_DOWNSTAIRS" 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163 0.289188320408163
1 "SITTING" 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532 0.261237565425532
1 "STANDING" 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604 0.278917629056604
1 "LAYING" 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394 0.22159824394
2 "WALKING" 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678 0.276426586440678
2 "WALKING_UPSTAIRS" 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833 0.247164790395833
2 "WALKING_DOWNSTAIRS" 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383 0.27761534806383
2 "SITTING" 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913 0.27708735173913
